"","PoissonsRatio","E","ThermalExpansion","InnerRadius","OuterRadius","InnerTemp","OuterTemp","ThicknessChange","PercentThicknessChange","YieldStress","TempDiff","TempDiff_for_Yield"
"4592",0.41,182211280658,6.92e-06,0.904342204402201,1.21343925376423,137.502658611629,293.148852500599,0.000492569682770341,0.159357613987905,346617254,155.64619388897,270.21
"4593",0.22,357067042429,2.665e-05,0.220514801472891,0.516544825725723,155.928983830381,196.557863076357,0.00147170203010081,0.497146204617363,371890343,40.6288792459754,40.63
"4594",0.32,396549233412,1.776e-05,0.417844516998157,0.691924702636898,68.0676558695268,115.768748140096,0.000484884787742014,0.176913477569345,326212181,47.7010922705696,47.7
"4595",0.43,72623071880,8.01e-06,0.717404482807033,1.86994751884136,29.4875149615109,219.122479436919,0.00163455013167047,0.141821179822892,203962965,189.634964475408,256.36
"4596",0.19,355392747826,1.987e-05,0.541715349154547,1.49642384726554,196.435490838485,238.699271404771,0.00435996755379262,0.456680501160233,291871799,42.2637805662864,42.26
"4597",0.39,111211457551,4.63e-06,0.0164498388604261,0.985532202252652,113.885675219353,280.86268537445,0.00125273022745237,0.12926973751408,326375750,166.977010155097,387.38
"4598",0.48,225782296436,2.774e-05,0.833375975799281,1.17856371193891,33.5599452198949,76.3468731274106,0.000572545097672077,0.165864843309635,315352859,42.7869279075157,42.79
"4599",0.06,164183241925,1.532e-05,0.973344940496609,1.7448244525725,140.176087350119,278.939699981303,0.00277819611432017,0.360112753590126,253366151,138.763612631184,138.76
"4600",0.28,190721630866,2.488e-05,0.376229747184552,1.21218879368156,111.972060136031,160.434723502865,0.00315614799355574,0.377548159420156,263290567,48.4626633668335,48.46
"4601",0.21,97664229586,1.796e-05,0.614457202884369,1.66621649239212,67.1933667326812,153.119247248566,0.00254682735475138,0.24214926173301,150753249,85.9258805158845,85.93
"4602",0.26,133129425528,4.16e-06,0.864808693663217,1.20116244386416,40.7222575973719,158.716259431094,0.000157456971978577,0.0468129081018154,250026522,117.994001833722,547.28
